stockID:ID,stock_name,:LABEL
002330,得利斯,COMPANY
000525,红 太 阳,COMPANY
000428,华天酒店,COMPANY
300300,汉鼎宇佑,COMPANY
002472,双环传动,COMPANY
300401,花园生物,COMPANY
600247,ST成城,COMPANY;ST
600476,湘邮科技,COMPANY
300072,三聚环保,COMPANY
002129,中环股份,COMPANY
300251,光线传媒,COMPANY
300723,一品红,COMPANY
300132,青松股份,COMPANY
600749,西藏旅游,COMPANY
300030,阳普医疗,COMPANY
002045,国光电器,COMPANY
300379,东方通,COMPANY
300455,康拓红外,COMPANY
002442,龙星化工,COMPANY
200028,一致Ｂ,COMPANY
002712,思美传媒,COMPANY
002920,德赛西威,COMPANY
300146,汤臣倍健,COMPANY
002241,歌尔股份,COMPANY
002235,安妮股份,COMPANY
000779,三毛派神,COMPANY
300277,海联讯,COMPANY
002422,科伦药业,COMPANY
600741,华域汽车,COMPANY
600551,时代出版,COMPANY
300563,神宇股份,COMPANY
000915,山大华特,COMPANY
002034,旺能环境,COMPANY
600423,*ST柳化,COMPANY;ST
300205,天喻信息,COMPANY
601226,华电重工,COMPANY
002004,华邦健康,COMPANY
002251,步 步 高,COMPANY
600190,锦州港,COMPANY
002194,武汉凡谷,COMPANY
000839,中信国安,COMPANY
002120,韵达股份,COMPANY
600357,承德钒钛,COMPANY
002321,华英农业,COMPANY
300083,劲胜智能,COMPANY
600403,*ST大有,COMPANY;ST
000711,京蓝科技,COMPANY
000611,天首发展,COMPANY
002028,思源电气,COMPANY
300178,腾邦国际,COMPANY
601010,文峰股份,COMPANY
600184,光电股份,COMPANY
600446,金证股份,COMPANY
601588,北辰实业,COMPANY
300234,开尔新材,COMPANY
600165,新日恒力,COMPANY
000089,深圳机场,COMPANY
603131,上海沪工,COMPANY
600869,智慧能源,COMPANY
300389,艾比森,COMPANY
300044,赛为智能,COMPANY
603806,福斯特,COMPANY
300317,珈伟股份,COMPANY
002351,漫步者,COMPANY
600368,五洲交通,COMPANY
600713,南京医药,COMPANY
601933,永辉超市,COMPANY
002249,大洋电机,COMPANY
601595,上海电影,COMPANY
600212,江泉实业,COMPANY
600179,安通控股,COMPANY
600462,九有股份,COMPANY
002102,冠福股份,COMPANY
600063,皖维高新,COMPANY
600512,腾达建设,COMPANY
300387,富邦股份,COMPANY
002553,南方轴承,COMPANY
603126,中材节能,COMPANY
200625,长 安Ｂ,COMPANY
300272,开能环保,COMPANY
002736,国信证券,COMPANY
601218,吉鑫科技,COMPANY
601007,金陵饭店,COMPANY
603686,龙马环卫,COMPANY
002493,荣盛石化,COMPANY
300477,合纵科技,COMPANY
600847,*ST万里,COMPANY;ST
002435,长江润发,COMPANY
601002,晋亿实业,COMPANY
300197,铁汉生态,COMPANY
600468,百利电气,COMPANY
600595,中孚实业,COMPANY
300384,三联虹普,COMPANY
600210,紫江企业,COMPANY
603031,安德利,COMPANY
002695,煌上煌,COMPANY
000705,浙江震元,COMPANY
600528,中铁工业,COMPANY
300412,迦南科技,COMPANY
601985,中国核电,COMPANY
603323,吴江银行,COMPANY
300104,乐视网,COMPANY
002248,*ST东数,COMPANY;ST
601928,凤凰传媒,COMPANY
600701,工大高新,COMPANY
603869,北部湾旅,COMPANY
600789,鲁抗医药,COMPANY
000926,福星股份,COMPANY
600662,强生控股,COMPANY
600299,安迪苏,COMPANY
002180,纳思达,COMPANY
600586,金晶科技,COMPANY
002467,二六三,COMPANY
002454,松芝股份,COMPANY
002073,软控股份,COMPANY
300252,金信诺,COMPANY
300169,天晟新材,COMPANY
300167,迪威迅,COMPANY
002748,世龙实业,COMPANY
000960,锡业股份,COMPANY
000402,金 融 街,COMPANY
000090,天健集团,COMPANY
300325,德威新材,COMPANY
200613,*ST东海B,COMPANY;ST
002177,御银股份,COMPANY
300467,迅游科技,COMPANY
300441,鲍斯股份,COMPANY
000758,中色股份,COMPANY
603088,宁波精达,COMPANY
002630,华西能源,COMPANY
000788,北大医药,COMPANY
002690,美亚光电,COMPANY
002161,远 望 谷,COMPANY
600100,同方股份,COMPANY
601567,三星医疗,COMPANY
603319,湘油泵,COMPANY
600609,金杯汽车,COMPANY
000961,中南建设,COMPANY
600074,ST保千里,COMPANY;ST
600532,宏达矿业,COMPANY
002242,九阳股份,COMPANY
000906,浙商中拓,COMPANY
000405,ST鑫光,COMPANY;ST
000425,徐工机械,COMPANY
600516,方大炭素,COMPANY
000058,深 赛 格,COMPANY
300101,振芯科技,COMPANY
300040,九洲电气,COMPANY
600038,中直股份,COMPANY
000005,世纪星源,COMPANY
603116,红蜻蜓,COMPANY
000014,沙河股份,COMPANY
200992,中 鲁Ｂ,COMPANY
002659,中泰桥梁,COMPANY
002805,丰元股份,COMPANY
002419,天虹股份,COMPANY
600470,六国化工,COMPANY
002046,轴研科技,COMPANY
000593,大通燃气,COMPANY
300449,汉邦高科,COMPANY
300115,长盈精密,COMPANY
900957,凌云Ｂ股,COMPANY
600522,中天科技,COMPANY
600584,长电科技,COMPANY
002155,湖南黄金,COMPANY
000826,启迪桑德,COMPANY
002802,洪汇新材,COMPANY
300343,联创互联,COMPANY
002714,牧原股份,COMPANY
000059,华锦股份,COMPANY
600420,现代制药,COMPANY
900946,天雁B股,COMPANY
002593,日上集团,COMPANY
601886,江河集团,COMPANY
002005,德豪润达,COMPANY
000966,长源电力,COMPANY
002577,雷柏科技,COMPANY
000802,北京文化,COMPANY
603555,贵人鸟,COMPANY
600231,凌钢股份,COMPANY
300404,博济医药,COMPANY
600361,华联综超,COMPANY
603399,新华龙,COMPANY
002163,中航三鑫,COMPANY
600625,PT水仙,COMPANY
002283,天润曲轴,COMPANY
600628,新世界,COMPANY
601998,中信银行,COMPANY
000557,西部创业,COMPANY
000032,深桑达Ａ,COMPANY
300051,三五互联,COMPANY
000989,九 芝 堂,COMPANY
002272,川润股份,COMPANY
601633,长城汽车,COMPANY
002070,*ST众和,COMPANY;ST
300141,和顺电气,COMPANY
300185,通裕重工,COMPANY
002681,奋达科技,COMPANY
600166,福田汽车,COMPANY
600262,北方股份,COMPANY
000030,富奥股份,COMPANY
002243,通产丽星,COMPANY
002556,辉隆股份,COMPANY
002570,贝因美,COMPANY
000897,津滨发展,COMPANY
600456,宝钛股份,COMPANY
600875,东方电气,COMPANY
002006,精功科技,COMPANY
603993,洛阳钼业,COMPANY
002677,浙江美大,COMPANY
600714,金瑞矿业,COMPANY
603100,川仪股份,COMPANY
002373,千方科技,COMPANY
300335,迪森股份,COMPANY
300388,国祯环保,COMPANY
000767,漳泽电力,COMPANY
002600,江粉磁材,COMPANY
000629,*ST钒钛,COMPANY;ST
601799,星宇股份,COMPANY
600272,开开实业,COMPANY
300160,秀强股份,COMPANY
600449,宁夏建材,COMPANY
002043,兔 宝 宝,COMPANY
002492,恒基达鑫,COMPANY
600009,上海机场,COMPANY
300153,科泰电源,COMPANY
000969,安泰科技,COMPANY
300220,金运激光,COMPANY
600396,金山股份,COMPANY
900942,黄山Ｂ股,COMPANY
000815,美利云,COMPANY
000923,河北宣工,COMPANY
000663,永安林业,COMPANY
002864,盘龙药业,COMPANY
002682,龙洲股份,COMPANY
601233,桐昆股份,COMPANY
600012,皖通高速,COMPANY
300042,朗科科技,COMPANY
000419,通程控股,COMPANY
300510,金冠电气,COMPANY
600191,华资实业,COMPANY
600666,奥瑞德,COMPANY
600893,航发动力,COMPANY
300180,华峰超纤,COMPANY
002514,宝馨科技,COMPANY
300730,科创信息,COMPANY
000810,创维数字,COMPANY
000565,渝三峡Ａ,COMPANY
000883,湖北能源,COMPANY
002693,双成药业,COMPANY
000993,闽东电力,COMPANY
300199,翰宇药业,COMPANY
300391,康跃科技,COMPANY
002092,中泰化学,COMPANY
603278,大业股份,COMPANY
300616,尚品宅配,COMPANY
600743,华远地产,COMPANY
002123,梦网集团,COMPANY
002667,鞍重股份,COMPANY
001965,招商公路,COMPANY
600288,大恒科技,COMPANY
600591,*ST上航,COMPANY;ST
900935,阳晨Ｂ股,COMPANY
900945,海控Ｂ股,COMPANY
000088,盐 田 港,COMPANY
600418,江淮汽车,COMPANY
200029,深深房Ｂ,COMPANY
002381,双箭股份,COMPANY
002212,南洋股份,COMPANY
600027,华电国际,COMPANY
000158,常山北明,COMPANY
300559,佳发安泰,COMPANY
000789,万年青,COMPANY
001979,招商蛇口,COMPANY
600000,浦发银行,COMPANY
000526,*ST紫学,COMPANY;ST
002738,中矿资源,COMPANY
300371,汇中股份,COMPANY
000811,冰轮环境,COMPANY
600072,中船科技,COMPANY
002216,三全食品,COMPANY
000930,中粮生化,COMPANY
002571,*ST德力,COMPANY;ST
603099,长白山,COMPANY
300077,国民技术,COMPANY
600748,上实发展,COMPANY
600275,*ST昌鱼,COMPANY;ST
300262,巴安水务,COMPANY
002015,霞客环保,COMPANY
300207,欣旺达,COMPANY
601991,大唐发电,COMPANY
600982,宁波热电,COMPANY
002166,莱茵生物,COMPANY
002474,榕基软件,COMPANY
000791,甘肃电投,COMPANY
600747,*ST大控,COMPANY;ST
600279,重庆港九,COMPANY
002267,陕天然气,COMPANY
002700,新疆浩源,COMPANY
300183,东软载波,COMPANY
300297,蓝盾股份,COMPANY
601268,*ST二重,COMPANY;ST
300406,九强生物,COMPANY
603556,海兴电力,COMPANY
002790,瑞尔特,COMPANY
200017,深中华B,COMPANY
600300,维维股份,COMPANY
002322,理工环科,COMPANY
300330,华虹计通,COMPANY
601179,中国西电,COMPANY
600408,安泰集团,COMPANY
